"period_type","fiscal_year_be","period_order","period_label","indicator_no","indicator_name","target_text","target_type","target_value","numerator","denominator","actual_percent","status","gap_from_target"
"เดือน","2567","4","มกราคม","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","37","340","10.88","ไม่ผ่าน","-59.12"
"เดือน","2567","4","มกราคม","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","13","340","3.82","ไม่ผ่าน","-36.18"
"เดือน","2567","4","มกราคม","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","12","340","3.53","ไม่ผ่าน","-76.47"
"เดือน","2567","5","กุมภาพันธ์","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","196","256","76.56","ผ่าน","6.56"
"เดือน","2567","5","กุมภาพันธ์","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","59","196","30.1","ไม่ผ่าน","-9.9"
"เดือน","2567","5","กุมภาพันธ์","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","31","256","12.11","ไม่ผ่าน","-57.89"
"เดือน","2567","5","กุมภาพันธ์","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","0","256","0","ไม่ผ่าน","-40"
"เดือน","2567","5","กุมภาพันธ์","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","9","256","3.52","ไม่ผ่าน","-76.48"
"เดือน","2567","6","มีนาคม","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","259","299","86.62","ผ่าน","16.62"
"เดือน","2567","6","มีนาคม","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","62","259","23.94","ไม่ผ่าน","-16.06"
"เดือน","2567","6","มีนาคม","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","43","299","14.38","ไม่ผ่าน","-55.62"
"เดือน","2567","6","มีนาคม","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","0","299","0","ไม่ผ่าน","-40"
"เดือน","2567","6","มีนาคม","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","11","299","3.68","ไม่ผ่าน","-76.32"
"เดือน","2567","7","เมษายน","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","281","375","74.93","ผ่าน","4.93"
"เดือน","2567","7","เมษายน","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","85","281","30.25","ไม่ผ่าน","-9.75"
"เดือน","2567","7","เมษายน","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","40","375","10.67","ไม่ผ่าน","-59.33"
"เดือน","2567","7","เมษายน","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","0","375","0","ไม่ผ่าน","-40"
"เดือน","2567","7","เมษายน","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","3","375","0.8","ไม่ผ่าน","-79.2"
"เดือน","2567","8","พฤษภาคม","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","211","276","76.45","ผ่าน","6.45"
"เดือน","2567","8","พฤษภาคม","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","64","211","30.33","ไม่ผ่าน","-9.67"
"เดือน","2567","8","พฤษภาคม","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","38","276","13.77","ไม่ผ่าน","-56.23"
"เดือน","2567","8","พฤษภาคม","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","0","276","0","ไม่ผ่าน","-40"
"เดือน","2567","8","พฤษภาคม","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","4","276","1.45","ไม่ผ่าน","-78.55"
"เดือน","2567","9","มิถุนายน","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","85","286","29.72","ไม่ผ่าน","-40.28"
"เดือน","2567","9","มิถุนายน","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","27","85","31.76","ไม่ผ่าน","-8.24"
"เดือน","2567","9","มิถุนายน","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","25","286","8.74","ไม่ผ่าน","-61.26"
"เดือน","2567","9","มิถุนายน","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","0","286","0","ไม่ผ่าน","-40"
